run_id,config_label,baseline_variant,variant,filename,base_property_result,variant_property_result,base_total_time_s,variant_total_time_s,time_ratio_variant_over_base,delta_total_time_s,comparison
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e7_3681.lus,Safe,Safe,0.065000,0.063000,0.969231,-0.002000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_2_e7_25_e3_829.lus,Unsafe,Unsafe,0.037000,0.025000,0.675676,-0.012000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_4.lus,Safe,Safe,0.050000,0.053000,1.060000,0.003000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e2_1853.lus,Safe,Safe,0.044000,0.046000,1.045455,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e1_2375.lus,Unsafe,Unsafe,0.761000,0.185000,0.243101,-0.576000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_2_e7_25_e1_154.lus,Unsafe,Unsafe,0.025000,0.025000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501.lus,Safe,Safe,0.098000,0.095000,0.969388,-0.003000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all.lus,Safe,Safe,0.232000,0.157000,0.676724,-0.075000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671.lus,Unsafe,Unsafe,0.043000,0.044000,1.023256,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e5_84.lus,Unsafe,Unsafe,0.059000,0.064000,1.084746,0.005000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e2_3353.lus,Safe,Safe,0.053000,0.054000,1.018868,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_a3_e2_2952.lus,Safe,Safe,0.108000,0.169000,1.564815,0.061000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888.lus,Safe,Safe,0.062000,0.083000,1.338710,0.021000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e3_3091.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_7.lus,Safe,Timeout,35.227000,286.690000,,,regressed
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_all_e3_3496.lus,Unsafe,Unsafe,0.163000,0.083000,0.509202,-0.080000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_14_e3_1259_e1_5798.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_2574.lus,Unsafe,Unsafe,0.019000,0.020000,1.052632,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e3_1882.lus,Safe,Safe,0.046000,0.047000,1.021739,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_3.lus,Safe,Safe,0.108000,0.073000,0.675926,-0.035000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_11_e3_2076_e1_1270.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_4_e2_2799_e1_1303.lus,Safe,Safe,3.283000,3.886000,1.183673,0.603000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881.lus,Safe,Safe,0.065000,0.062000,0.953846,-0.003000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_14.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e2_1058.lus,Safe,Safe,0.063000,0.061000,0.968254,-0.002000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e7_3594.lus,Safe,Safe,0.046000,0.048000,1.043478,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580.lus,Safe,Safe,0.062000,0.065000,1.048387,0.003000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_13_e7_2336_e7_685.lus,Unsafe,Unsafe,0.024000,0.025000,1.041667,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_2_e7_25.lus,Unsafe,Unsafe,0.024000,0.026000,1.083333,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_11_e1_2450_e7_5791.lus,Unsafe,Unsafe,0.025000,0.026000,1.040000,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e2_1923.lus,Safe,Safe,0.123000,0.123000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_2_e3_151_e3_1540.lus,Unsafe,Unsafe,0.061000,0.061000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_5.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e4_3719.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all2_e8_4626.lus,Unsafe,Unsafe,0.027000,0.028000,1.037037,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e1_1303.lus,Unsafe,Unsafe,0.022000,0.021000,0.954545,-0.001000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b.lus,Safe,Safe,0.046000,0.046000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_2.lus,Safe,Safe,0.061000,0.064000,1.049180,0.003000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all2_e7_5406.lus,Unsafe,Unsafe,0.029000,0.029000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e4_897.lus,Unsafe,Unsafe,1.037000,0.713000,0.687560,-0.324000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_all_e2_3678.lus,Unsafe,Unsafe,0.060000,0.062000,1.033333,0.002000,loss
