run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e1_6463.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_3_e1_4783.lus,Safe,1,0.070,2,27,57.92,0.52,0.12,0,false,Safe,1,0.074,2,27,43.67,0.52,0.12,0,false,Safe,1,0.072,2,27,29.18,0.52,0.12,0,false,Safe,1,0.070,2,27,20.96,0.53,0.26,0,false,Safe,1,0.069,2,27,57.55,0.52,0.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_rt.lus,Safe,10 8 5,0.517,4,585,48.73,0.94,0.53,0,false,Safe,11 9 5,0.601,4,664,49.63,1.04,0.60,0,false,Safe,10 8 5,0.527,4,584,49.57,1.05,0.57,0,false,Safe,10 8 5,0.539,4,583,108.75,1.05,1.69,0,false,Safe,10 8 5,0.558,4,583,107.69,1.04,1.67,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_3_e1_4783_e3_511.lus,Safe,1,0.069,2,27,53.41,0.52,0.12,0,false,Safe,1,0.073,2,27,39.01,0.53,0.12,0,false,Safe,1,0.072,2,27,57.92,0.52,0.12,0,false,Safe,1,0.070,2,27,57.91,0.52,0.26,0,false,Safe,1,0.071,2,27,58.06,0.52,0.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_10_e7_3861_e7_2180.lus,Unsafe,,0.024,0,2,31.96,0.52,0.08,40,false,Unsafe,,0.023,0,2,42.14,0.54,0.08,40,false,Unsafe,,0.023,0,2,21.51,0.52,0.08,40,false,Unsafe,,0.022,0,2,87.82,0.52,0.13,40,false,Unsafe,,0.023,0,2,57.45,0.52,0.14,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_13_e7_2336_e1_541.lus,Unsafe,,0.024,0,2,42.36,0.52,0.08,40,false,Unsafe,,0.025,0,2,56.29,0.53,0.09,40,false,Unsafe,,0.024,0,2,34.51,0.62,0.10,40,false,Unsafe,,0.024,0,2,36.93,0.52,0.14,40,false,Unsafe,,0.025,0,2,91.67,0.52,0.14,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_5_e7_2017_e1_5832.lus,Unsafe,0,0.092,1,23,42.20,0.53,0.15,40,false,Unsafe,0,0.095,1,23,48.01,0.63,0.15,40,false,Unsafe,0,0.092,1,22,36.60,0.62,0.14,40,false,Unsafe,0,0.092,1,23,88.14,0.52,0.33,40,false,Unsafe,0,0.100,1,23,103.64,0.64,0.36,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all_e2_6104_e1_6205.lus,Safe,4,0.154,2,71,55.56,0.63,0.21,0,false,Safe,4,0.151,2,67,51.15,0.62,0.20,0,false,Safe,4,0.152,2,71,49.03,0.64,0.23,0,false,Safe,4,0.156,2,71,105.58,0.64,0.54,0,false,Safe,4,0.161,2,71,105.82,0.63,0.54,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all_e2_6104.lus,Safe,5,0.181,2,86,56.15,0.62,0.23,0,false,Safe,4,0.154,2,65,47.79,0.62,0.20,0,false,Safe,4,0.157,2,67,56.02,0.63,0.21,0,false,Safe,5,0.181,2,86,105.67,0.64,0.55,0,false,Safe,5,0.189,2,86,105.32,0.74,0.62,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_2_e2_1375_e1_418.lus,Safe,16 14 10 6,0.732,5,886,49.83,1.25,0.75,0,false,Safe,17 15 10 6,0.842,5,962,50.12,1.35,0.83,0,false,Safe,11 9 5,0.518,4,605,49.46,1.05,0.54,0,false,Safe,11 9 5,0.543,4,599,108.23,1.04,1.67,0,false,Safe,11 9 5,0.557,4,599,108.23,1.05,1.67,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_9_e7_1843_e7_2225.lus,Safe,1,0.063,2,25,55.89,0.54,0.11,0,false,Safe,1,0.065,2,24,49.89,0.52,0.11,0,false,Safe,1,0.064,2,25,19.55,0.54,0.12,0,false,Safe,1,0.069,2,25,20.27,0.54,0.26,0,false,Safe,1,0.067,2,25,53.40,0.54,0.25,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_4_e2_2799_e3_1915.lus,Safe,34 28 19 8,4.584,5,3696,59.20,5.09,4.58,0,false,Safe,36 30 23 10,3.544,5,2950,59.10,4.05,3.46,0,false,Safe,35 30 23 10,3.769,5,3318,58.71,4.27,3.78,0,false,Safe,29 23 20 13 5,3.957,5,3034,135.01,4.61,12.02,0,false,Safe,45 39 32 21 11,7.151,6,4924,146.04,7.85,21.59,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_2_e1_2316.lus,Safe,1,0.062,2,22,51.15,0.53,0.11,0,false,Safe,1,0.063,2,22,54.64,0.52,0.11,0,false,Safe,1,0.062,2,22,29.03,0.54,0.11,0,false,Safe,1,0.062,2,22,57.30,0.52,0.23,0,false,Safe,1,0.064,2,22,66.71,0.53,0.24,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_3_e2_5343_e1_988.lus,Safe,1,0.073,2,27,19.74,0.53,0.12,0,false,Safe,1,0.076,2,27,56.66,0.53,0.12,0,false,Safe,1,0.068,2,27,57.91,0.54,0.13,0,false,Safe,1,0.076,2,27,57.41,0.53,0.27,0,false,Safe,1,0.076,2,27,88.21,0.52,0.27,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_3.lus,Safe,25 22 20 17 8,1.912,6,2040,52.45,2.41,1.92,0,false,Safe,78 74 47 20 9,47.259,6,12768,120.48,47.74,46.54,0,false,Safe,14 11 8 6 5,1.476,6,1725,52.13,1.98,1.49,0,false,Safe,20 17 15 12 4,1.704,5,1666,117.27,2.10,5.06,0,false,Safe,25 22 20 17 8,2.195,6,2011,120.59,2.62,6.52,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all_e7_1941_e2_6086.lus,Unsafe,,0.024,0,2,55.90,0.53,0.09,40,false,Unsafe,,0.025,0,2,40.76,0.52,0.09,40,false,Unsafe,,0.024,0,2,57.08,0.52,0.09,40,false,Unsafe,,0.024,0,2,58.91,0.52,0.14,40,false,Unsafe,,0.024,0,2,53.78,0.52,0.14,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_14_e7_3162.lus,Unsafe,14 8,0.581,2,316,49.66,1.05,0.63,40,false,Unsafe,15 9,0.810,2,423,56.43,1.24,0.84,40,false,Unsafe,15 9,0.703,2,440,56.64,1.15,0.76,40,false,Unsafe,14 8,0.620,2,316,108.05,1.15,1.95,40,false,Unsafe,14 8,0.628,2,316,108.61,1.15,1.93,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_10.lus,Safe,2,0.061,2,39,44.12,0.52,0.09,0,false,Safe,2,0.061,2,37,41.86,0.52,0.09,0,false,Safe,2,0.063,2,39,44.74,0.53,0.09,0,false,Safe,2,0.062,2,39,99.02,0.52,0.21,0,false,Safe,2,0.067,2,39,98.30,0.52,0.22,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_9.lus,Safe,1,0.046,2,27,34.36,0.56,0.09,0,false,Safe,1,0.047,2,26,45.74,0.52,0.08,0,false,Safe,1,0.048,2,27,45.74,0.52,0.08,0,false,Safe,1,0.047,2,27,101.81,0.52,0.16,0,false,Safe,1,0.049,2,27,99.79,0.52,0.17,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e2_2893.lus,Safe,1,0.045,2,22,43.64,0.53,0.08,0,false,Safe,1,0.047,2,22,45.62,0.53,0.08,0,false,Safe,1,0.045,2,22,43.77,0.52,0.08,0,false,Safe,1,0.047,2,22,22.10,0.54,0.18,0,false,Safe,1,0.045,2,22,101.12,0.52,0.16,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all2_e7_5406_e1_6690.lus,Unsafe,,0.028,0,2,66.90,0.52,0.10,40,false,Unsafe,,0.030,0,2,37.05,0.53,0.13,40,false,Unsafe,,0.028,0,2,68.62,0.52,0.10,40,false,Unsafe,,0.028,0,2,51.28,0.53,0.17,40,false,Unsafe,,0.030,0,2,51.78,0.52,0.17,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_9.lus,Safe,1,0.060,2,25,40.64,0.52,0.11,0,false,Safe,1,0.063,2,24,19.65,0.52,0.11,0,false,Safe,1,0.060,2,25,34.65,0.62,0.11,0,false,Safe,1,0.060,2,25,66.19,0.52,0.22,0,false,Safe,1,0.066,2,25,67.74,0.54,0.25,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913.lus,Unsafe,0,0.063,1,20,46.00,0.52,0.10,40,false,Unsafe,0,0.064,1,20,43.88,0.53,0.10,40,false,Unsafe,0,0.064,1,20,45.88,0.52,0.10,40,false,Unsafe,0,0.064,1,20,102.12,0.54,0.22,40,false,Unsafe,0,0.064,1,20,93.64,0.53,0.23,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_rt.lus,Safe,1,0.071,2,27,19.52,0.53,0.13,0,false,Safe,1,0.054,2,27,19.41,0.53,0.09,0,false,Safe,1,0.053,2,27,46.50,0.52,0.08,0,false,Safe,1,0.055,2,27,98.66,0.52,0.19,0,false,Safe,1,0.054,2,27,99.89,0.52,0.19,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e3_389.lus,Unsafe,0,0.055,1,15,44.24,0.52,0.09,40,false,Unsafe,0,0.054,1,15,21.39,0.52,0.10,40,false,Unsafe,0,0.055,1,15,46.86,0.52,0.09,40,false,Unsafe,0,0.053,1,15,21.52,0.52,0.20,40,false,Unsafe,0,0.061,1,15,94.23,0.52,0.22,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e6_1974.lus,Safe,1,0.075,2,22,43.86,0.53,0.11,0,false,Safe,1,0.048,2,22,45.14,0.52,0.08,0,false,Safe,1,0.056,2,22,32.06,0.52,0.11,0,false,Safe,1,0.045,2,22,101.32,0.52,0.16,0,false,Safe,1,0.046,2,22,34.99,0.54,0.19,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all_e3_4821_e1_1318.lus,Safe,5,0.177,2,86,48.32,0.63,0.22,0,false,Safe,4,0.153,2,65,47.82,0.63,0.21,0,false,Safe,5,0.180,2,84,50.80,0.73,0.23,0,false,Safe,5,0.179,2,86,105.55,0.63,0.55,0,false,Safe,5,0.190,2,86,105.20,0.63,0.61,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e1_1993.lus,Unsafe,0,0.060,1,20,31.77,0.52,0.10,40,false,Unsafe,0,0.064,1,20,31.28,0.52,0.10,40,false,Unsafe,0,0.065,1,20,43.88,0.52,0.10,40,false,Unsafe,0,0.070,1,20,94.20,0.52,0.24,40,false,Unsafe,0,0.067,1,20,93.64,0.52,0.23,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_3_e1_4783_e2_158.lus,Safe,1,0.072,2,27,19.71,0.53,0.12,0,false,Safe,1,0.075,2,27,19.80,0.52,0.12,0,false,Safe,1,0.070,2,27,42.54,0.52,0.12,0,false,Safe,1,0.071,2,27,91.05,0.52,0.26,0,false,Safe,1,0.076,2,27,44.95,0.52,0.27,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_11.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_5_e7_2017.lus,Unsafe,0,0.089,1,23,56.59,0.63,0.14,40,false,Unsafe,2,0.147,1,46,50.33,0.62,0.20,40,false,Unsafe,2,0.142,1,42,47.76,0.63,0.20,40,false,Unsafe,0,0.089,1,23,105.78,0.65,0.39,40,false,Unsafe,0,0.094,1,23,68.96,0.63,0.34,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_3_e1_4783_e7_4070.lus,Unsafe,,0.024,0,2,57.29,0.53,0.09,40,false,Unsafe,,0.025,0,2,49.32,0.52,0.08,40,false,Unsafe,,0.025,0,2,21.43,0.52,0.08,40,false,Unsafe,,0.024,0,2,52.43,0.53,0.15,40,false,Unsafe,,0.024,0,2,51.05,0.52,0.14,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370.lus,Safe,2,0.095,2,41,43.26,0.52,0.14,0,false,Safe,2,0.094,2,41,39.15,0.53,0.14,0,false,Safe,2,0.098,2,43,56.04,0.63,0.15,0,false,Safe,2,0.093,2,41,91.93,0.52,0.32,0,false,Safe,2,0.104,2,41,66.28,0.64,0.36,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_14_e1_5710.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_all_e3_4821_e2_1089.lus,Safe,4,0.177,2,71,57.90,0.64,0.23,0,false,Safe,4,0.152,2,67,48.15,0.63,0.20,0,false,Safe,5,0.184,2,88,56.77,0.73,0.24,0,false,Safe,4,0.154,2,71,107.04,0.75,0.54,0,false,Safe,4,0.159,2,71,105.22,0.63,0.53,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e1_3123.lus,Unsafe,0,0.063,1,22,44.42,0.52,0.10,40,false,Unsafe,0,0.066,1,22,31.92,0.52,0.10,40,false,Unsafe,0,0.063,1,22,43.92,0.53,0.10,40,false,Unsafe,0,0.068,1,22,94.16,0.52,0.24,40,false,Unsafe,0,0.065,1,22,94.60,0.53,0.25,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_4_e7_2329_e7_3856.lus,Unsafe,4,0.201,1,69,53.26,0.74,0.26,40,false,Unsafe,1,0.112,1,26,52.81,0.65,0.17,40,false,Unsafe,2,0.138,1,40,47.98,0.64,0.19,40,false,Unsafe,3,0.137,1,48,104.91,0.63,0.44,40,false,Unsafe,4,0.215,1,69,105.48,0.73,0.70,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e1_1201.lus,Unsafe,5,0.163,1,90,47.18,0.62,0.20,40,false,Unsafe,4,0.143,1,71,47.17,0.63,0.18,40,false,Unsafe,4,0.142,1,72,47.33,0.62,0.19,40,false,Unsafe,5,0.153,1,86,104.30,0.66,0.49,40,false,Unsafe,5,0.171,1,90,103.72,0.63,0.55,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_4_e2_2799.lus,Safe,34 29 22 12,3.401,5,2855,57.14,3.85,3.41,0,false,Safe,34 29 25 13,3.566,5,2945,58.05,4.04,3.49,0,false,Safe,23 18 10 5,3.178,5,2802,58.72,3.63,3.19,0,false,Safe,30 25 17 8,3.590,5,2869,133.44,3.97,10.41,0,false,Safe,31 26 17 7,4.065,5,3005,136.31,4.80,10.00,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_8.lus,Safe,1,0.046,2,26,43.96,0.52,0.08,0,false,Safe,1,0.046,2,26,44.09,0.52,0.07,0,false,Safe,1,0.046,2,26,45.49,0.52,0.08,0,false,Safe,1,0.047,2,26,97.99,0.52,0.17,0,false,Safe,1,0.047,2,26,20.27,0.53,0.18,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e1_667.lus,Unsafe,0,0.064,1,18,45.96,0.55,0.10,40,false,Unsafe,0,0.096,1,18,44.29,0.62,0.13,40,false,Unsafe,2,0.099,1,41,46.17,0.52,0.13,40,false,Unsafe,0,0.064,1,18,100.12,0.52,0.27,40,false,Unsafe,0,0.069,1,18,99.35,0.53,0.25,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_10_e2_2785_e3_1744.lus,Safe,1,0.063,2,26,47.83,0.52,0.11,0,false,Safe,1,0.065,2,26,49.01,0.52,0.11,0,false,Safe,1,0.062,2,26,55.26,0.53,0.11,0,false,Safe,1,0.061,2,26,104.29,0.64,0.25,0,false,Safe,1,0.066,2,26,53.90,0.52,0.24,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_5_e7_2017_e7_2326.lus,Unsafe,2,0.154,1,53,47.95,0.63,0.21,40,false,Unsafe,0,0.094,1,25,56.12,0.62,0.15,40,false,Unsafe,0,0.090,1,24,47.93,0.64,0.17,40,false,Unsafe,2,0.123,1,48,81.14,0.63,0.37,40,false,Unsafe,2,0.174,1,53,104.29,0.63,0.58,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_2_e7_1826_e8_126.lus,Safe,10 8 5,0.447,4,527,48.33,0.95,0.47,0,false,Safe,10 8 5,0.509,4,529,48.83,0.94,0.51,0,false,Safe,11 9 5,0.518,4,605,49.80,1.05,0.55,0,false,Safe,10 8 5,0.490,4,526,105.78,0.96,1.56,0,false,Safe,10 8 5,0.477,4,526,105.80,0.95,1.44,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_a3.lus,Safe,4,0.107,2,73,43.92,0.64,0.14,0,false,Safe,4,0.165,2,69,46.98,0.63,0.19,0,false,Safe,5,0.129,2,89,47.58,0.62,0.16,0,false,Safe,4,0.109,2,73,94.31,0.63,0.37,0,false,Safe,4,0.114,2,73,103.24,0.63,0.38,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_12_e2_1618_e1_6030.lus,Safe,24 21 20 17 9,3.128,6,2552,57.50,3.65,3.14,0,false,Safe,24 20 17 10 6,5.375,6,3977,62.61,5.91,5.26,0,false,Safe,24 19 17 11 6,4.596,6,3645,60.54,5.08,4.60,0,false,Safe,24 21 20 17 9,3.575,6,2698,133.50,4.07,10.83,0,false,Safe,24 21 20 17 9,3.571,6,2509,130.23,4.09,10.84,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_12_e2_1618.lus,Safe,20 17 13 7,1.955,5,1649,55.23,2.39,1.97,0,false,Safe,10 7 6 4,1.772,5,1414,55.11,2.29,1.75,0,false,Safe,10 8 7 4,1.188,5,1006,54.89,1.66,1.21,0,false,Safe,11 8 7 4,1.474,5,1200,119.30,2.00,4.49,0,false,Safe,20 17 13 7,2.367,5,1648,123.23,2.83,7.13,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_7_e2_2872_e3_2640.lus,Safe,3,0.119,2,58,53.42,0.62,0.16,0,false,Safe,3,0.118,2,53,47.94,0.63,0.17,0,false,Safe,3,0.118,2,58,54.77,0.64,0.17,0,false,Safe,3,0.120,2,58,104.57,0.63,0.39,0,false,Safe,3,0.123,2,58,104.87,0.63,0.42,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_9_e7_1843_e2_1145.lus,Safe,2,0.094,2,41,49.05,0.64,0.15,0,false,Safe,2,0.095,2,39,48.56,0.62,0.14,0,false,Safe,2,0.093,2,41,35.00,0.62,0.14,0,false,Safe,2,0.095,2,41,66.61,0.52,0.32,0,false,Safe,2,0.095,2,41,104.90,0.63,0.33,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_8_e7_3752.lus,Safe,11 10 7 4,1.096,5,840,50.53,1.57,1.14,0,false,Safe,12 11 10 5 3,1.340,6,1146,51.83,1.87,1.33,0,false,Safe,11 6,0.462,3,394,51.17,0.94,0.50,0,false,Safe,4 3 2 1,0.521,4,398,109.18,0.94,1.54,0,false,Safe,11 10 7 4,1.129,5,840,113.74,1.57,3.38,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_12_e2_1618_e3_2012.lus,Safe,6 2 0,1.305,4,1077,54.18,1.78,1.33,0,false,Safe,22 20 13 7,1.773,5,1435,53.06,2.28,1.76,0,false,Safe,3 1 0,1.022,4,870,55.42,1.57,1.05,0,false,Safe,4 1 0,1.083,3,798,112.44,1.47,3.19,0,false,Safe,6 2 0,1.547,4,1077,123.07,1.99,4.65,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528.lus,Unsafe,18 11,0.729,2,460,49.81,1.25,0.78,40,false,Unsafe,14 8,0.587,2,341,49.11,1.14,0.62,40,false,Unsafe,18 11,0.853,2,524,50.14,1.37,0.92,40,false,Unsafe,16 10,0.665,2,395,108.54,1.15,1.93,40,false,Unsafe,18 11,0.833,2,460,111.15,1.36,2.55,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_11_e2_5396_e3_282.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_1.lus,Safe,2,0.088,2,43,53.31,0.63,0.13,0,false,Safe,2,0.083,2,41,51.65,0.53,0.13,0,false,Safe,2,0.086,2,43,42.42,0.52,0.14,0,false,Safe,2,0.095,2,43,66.71,0.52,0.32,0,false,Safe,2,0.092,2,43,104.90,0.63,0.33,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_8_e3_786_e7_4541.lus,Safe,23 22 17 9,2.942,5,2071,57.53,3.43,2.96,0,false,Safe,8 7 5 3,0.710,5,592,49.86,1.25,0.73,0,false,Safe,11 10 7 4,0.938,5,808,55.14,1.45,0.97,0,false,Safe,10 9 7 4,0.913,5,710,113.08,1.36,2.80,0,false,Safe,7 6 4 1,1.014,4,628,113.72,1.46,2.99,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_5_e7_2017_e2_664.lus,Unsafe,0,0.091,1,23,48.76,0.62,0.14,40,false,Unsafe,2,0.151,1,44,47.84,0.62,0.20,40,false,Unsafe,2,0.146,1,42,48.01,0.62,0.20,40,false,Unsafe,0,0.093,1,23,92.90,0.63,0.38,40,false,Unsafe,0,0.097,1,23,68.46,0.63,0.35,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_10_e7_919_e2_3192.lus,Safe,1,0.046,2,25,22.34,0.52,0.08,0,false,Safe,1,0.046,2,24,31.84,0.53,0.08,0,false,Safe,1,0.045,2,25,45.50,0.52,0.07,0,false,Safe,1,0.050,2,25,88.99,0.53,0.17,0,false,Safe,1,0.046,2,25,94.32,0.52,0.17,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e1_725.lus,Unsafe,0,0.044,1,9,45.78,0.52,0.08,40,false,Unsafe,0,0.048,1,9,21.15,0.53,0.09,40,false,Unsafe,0,0.042,1,9,34.76,0.62,0.09,40,false,Unsafe,0,0.049,1,9,34.09,0.53,0.23,40,false,Unsafe,0,0.043,1,9,34.86,0.53,0.18,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/FIREFLY_8_e2_1711.lus,Safe,1,0.045,2,24,19.42,0.53,0.08,0,false,Safe,1,0.047,2,24,46.05,0.52,0.07,0,false,Safe,1,0.045,2,24,45.98,0.52,0.07,0,false,Safe,1,0.044,2,24,33.72,0.52,0.16,0,false,Safe,1,0.049,2,24,20.52,0.53,0.18,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_2_e2_4481.lus,Safe,1,0.062,2,22,31.79,0.52,0.11,0,false,Safe,1,0.065,2,22,19.66,0.52,0.11,0,false,Safe,1,0.062,2,22,31.79,0.52,0.12,0,false,Safe,1,0.062,2,22,87.95,0.54,0.23,0,false,Safe,1,0.061,2,22,52.91,0.54,0.24,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/memory1/DRAGON_11_e3_382_e1_505.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
