run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_all.lus,Safe,11,0.389,2,224,55.84,0.85,0.45,0,false,Safe,10,0.363,2,197,49.22,0.83,0.41,0,false,Safe,11,0.411,2,230,49.59,0.94,0.46,0,false,Safe,11,0.397,2,224,108.24,0.83,1.19,0,false,Safe,11,0.416,2,224,107.31,0.95,1.30,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/readwrit.lus,Safe,1,0.055,2,25,45.89,0.54,0.08,0,false,Safe,1,0.054,2,24,20.98,0.53,0.08,0,false,Safe,1,0.059,2,25,44.09,0.52,0.09,0,false,Safe,1,0.055,2,25,99.79,0.54,0.18,0,false,Safe,1,0.070,2,25,93.24,0.52,0.24,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_1.lus,Safe,2,0.076,2,41,47.59,0.63,0.14,0,false,Safe,2,0.072,2,39,47.47,0.54,0.12,0,false,Safe,2,0.078,2,39,31.75,0.53,0.13,0,false,Safe,2,0.076,2,41,104.20,0.63,0.26,0,false,Safe,2,0.084,2,41,57.06,0.52,0.30,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_2.lus,Safe,3,0.101,2,58,47.53,0.63,0.14,0,false,Safe,3,0.097,2,55,49.45,0.63,0.15,0,false,Safe,3,0.099,2,58,44.69,0.62,0.14,0,false,Safe,3,0.100,2,58,65.93,0.64,0.33,0,false,Safe,3,0.104,2,58,94.62,0.63,0.35,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_5.lus,Safe,1,0.058,2,27,51.98,0.52,0.10,0,false,Safe,1,0.056,2,26,48.62,0.53,0.10,0,false,Safe,1,0.057,2,27,51.98,0.53,0.11,0,false,Safe,1,0.058,2,27,20.33,0.52,0.20,0,false,Safe,1,0.059,2,27,20.35,0.52,0.22,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_3.lus,Safe,2,0.076,2,41,44.24,0.53,0.12,0,false,Safe,2,0.078,2,39,41.99,0.52,0.12,0,false,Safe,2,0.081,2,41,44.23,0.52,0.13,0,false,Safe,2,0.078,2,41,94.35,0.52,0.27,0,false,Safe,2,0.108,2,41,65.86,0.64,0.38,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/peterson_2.lus,Safe,1,0.067,2,27,37.81,0.64,0.14,0,false,Safe,1,0.068,2,26,44.18,0.53,0.12,0,false,Safe,1,0.068,2,27,19.47,0.52,0.12,0,false,Safe,1,0.066,2,27,20.18,0.52,0.24,0,false,Safe,1,0.070,2,27,44.71,0.52,0.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/peterson_1_e7_4234.lus,Safe,1,0.076,2,27,47.43,0.53,0.13,0,false,Safe,1,0.073,2,26,48.57,0.55,0.14,0,false,Safe,1,0.117,2,27,48.60,0.64,0.17,0,false,Safe,1,0.073,2,27,66.57,0.52,0.26,0,false,Safe,1,0.076,2,27,58.27,0.52,0.27,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/peterson_1.lus,Safe,1,0.072,2,27,44.82,0.52,0.11,0,false,Safe,1,0.068,2,26,19.45,0.53,0.12,0,false,Safe,1,0.073,2,27,49.43,0.54,0.12,0,false,Safe,1,0.072,2,27,93.32,0.52,0.25,0,false,Safe,1,0.093,2,27,101.27,0.63,0.39,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/peterson_4.lus,Safe,1,0.112,2,27,47.84,0.65,0.17,0,false,Safe,1,0.069,2,26,39.93,0.55,0.12,0,false,Safe,1,0.070,2,27,32.22,0.52,0.12,0,false,Safe,1,0.072,2,27,47.05,0.53,0.25,0,false,Safe,1,0.095,2,27,106.40,0.63,0.34,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_8.lus,Unsafe,6 2,0.369,2,242,48.27,0.84,0.40,40,false,Unsafe,11 7 3,0.832,3,589,49.72,1.38,0.83,40,false,Unsafe,12 8 3,0.857,3,635,51.30,1.35,0.87,40,false,Unsafe,6 2,0.382,2,242,106.54,0.95,1.39,40,false,Unsafe,6 2,0.459,2,242,107.66,0.95,1.39,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_10_e7_106_e7_2564.lus,Safe,2,0.092,2,41,49.56,0.62,0.14,0,false,Safe,2,0.087,2,39,47.62,0.65,0.17,0,false,Safe,2,0.090,2,41,35.11,0.52,0.13,0,false,Safe,2,0.092,2,41,67.02,0.52,0.31,0,false,Safe,2,0.115,2,41,104.23,0.63,0.40,0,false
