filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e7_1119.lus,Unsafe,,0.019,0,2,94.10,0.52,0.11,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e2_2689.lus,Safe,4,0.119,2,73,99.36,0.63,0.38,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998.lus,Unsafe,13 5,0.832,2,494,112.74,1.36,2.54,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_12_e2_1618_e2_138.lus,Safe,24 20 18 15 8,3.509,6,2582,131.08,3.97,10.62,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_12_e1_4640_e7_128.lus,Unsafe,,0.024,0,2,49.55,0.52,0.14,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e8_5504_e7_579.lus,Unsafe,,0.032,0,2,65.40,0.52,0.18,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_5_e1_1835.lus,Safe,9 7 4,0.522,4,398,108.35,1.04,1.59,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_u1_e7_3318.lus,Unsafe,0,0.059,1,15,94.21,0.52,0.22,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_13_e7_2336.lus,Unsafe,,0.024,0,2,21.72,0.52,0.14,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_5_e7_2017_e3_1763.lus,Unsafe,2,0.160,1,42,104.35,0.63,0.53,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_12_e2_1618_e7_4732.lus,Unsafe,,0.024,0,2,52.60,0.52,0.14,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e3_2128.lus,Unsafe,0,0.068,1,22,98.89,0.52,0.24,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511.lus,Safe,2,0.079,2,43,99.66,0.52,0.26,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972.lus,Safe,1,0.066,2,22,53.66,0.52,0.24,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_11_e1_2450.lus,Timeout,,,,,,,,,true,base_x3
