filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/simulation/metros_1_e8_725_e1_919.lus,Safe,1,0.048,2,23,44.00,0.54,0.09,0,false,base
FMCAD08/Int/simulation/car_all_e1_618.lus,Unsafe,3,0.078,1,61,45.81,0.52,0.10,40,false,base
FMCAD08/Int/simulation/car_1.lus,Safe,2,0.047,2,39,46.05,0.52,0.06,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e4_164.lus,Timeout,5 3 1,0.437,3,463,365.19,300.24,96.50,30,true,base
FMCAD08/Int/simulation/fast_2_e8_976.lus,Safe,2 1,0.293,3,273,47.66,0.73,0.30,0,false,base
FMCAD08/Int/simulation/Gas.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/car_4_e7_592.lus,Safe,1 0,0.088,3,104,44.46,0.52,0.10,0,false,base
FMCAD08/Int/simulation/metros_4_e3_1091_e1_1044.lus,Unsafe,133 121 97 88 79 68 55 38 18,195.527,9,38351,241.48,195.99,194.32,40,false,base
FMCAD08/Int/simulation/metros_1_e2_1102_e7_1163.lus,Safe,9 7 5,0.845,4,871,51.16,1.35,0.84,0,false,base
FMCAD08/Int/simulation/cd.lus,Safe,40 37 35 33 30 26 20 11,10.169,9,10001,70.88,10.59,10.06,0,false,base
FMCAD08/Int/simulation/metros_2_e1_1116_e7_1440.lus,Unsafe,91 85 79 75 69 62 46 38 28 18 9,253.934,11,44154,235.96,254.40,252.33,40,false,base
FMCAD08/Int/simulation/PRODUCER_CONSUMER_1.lus,Safe,2,0.056,2,49,46.26,0.52,0.07,0,false,base
FMCAD08/Int/simulation/metros_4_e2_968_e4_801.lus,Timeout,37 35 27 22 19 15 13 11 9 7,264.388,10,37917,215.56,302.30,1.28,1,true,base
FMCAD08/Int/simulation/car_6.lus,Safe,31 29 25 23 20 17 15 13 10 7 6 5 2,104.724,14,33600,129.03,105.13,103.79,0,false,base
FMCAD08/Int/simulation/car_all_e3_1068_e1_178.lus,Unsafe,,0.013,0,2,32.90,0.52,0.04,40,false,base
FMCAD08/Int/simulation/metros_1_e2_1102_e3_961.lus,Safe,14 12,0.507,3,483,48.95,0.94,0.51,0,false,base
FMCAD08/Int/simulation/car_3_e1_586.lus,Unsafe,0,0.026,1,9,45.96,0.52,0.05,40,false,base
FMCAD08/Int/simulation/metros_3_e4_987_e1_1115.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/metros_1.lus,Safe,8 5 4 2,1.454,5,1569,52.66,1.87,1.43,0,false,base
FMCAD08/Int/simulation/speed2_e8_449_e7_353.lus,Safe,1 0,0.093,3,108,46.12,0.52,0.10,0,false,base
FMCAD08/Int/simulation/metros_1_e1_846_e3_1060.lus,Safe,9 7 5,0.626,4,664,49.37,1.04,0.63,0,false,base
FMCAD08/Int/simulation/metros_2_e1_1116_e2_617.lus,Safe,8 6 2,0.931,4,1047,51.41,1.36,0.92,0,false,base
FMCAD08/Int/simulation/car_5_e3_661.lus,Unsafe,8 1,0.649,2,447,48.98,1.14,0.66,40,false,base
FMCAD08/Int/simulation/car_3_e8_33_e7_220.lus,Safe,2 1,0.075,3,93,45.91,0.52,0.09,0,false,base
FMCAD08/Int/simulation/car_5_e2_405_e3_473.lus,Unsafe,8 1,0.500,2,391,48.76,0.94,0.51,40,false,base
FMCAD08/Int/simulation/car_6_e3_294_e3_47.lus,Unsafe,13 3,0.725,2,576,48.88,1.15,0.73,40,false,base
FMCAD08/Int/simulation/car_all_e3_1068_e2_13.lus,Unsafe,,0.013,0,2,32.74,0.52,0.04,40,false,base
FMCAD08/Int/simulation/metros_1_e8_725_e2_1144.lus,Safe,1,0.047,2,23,46.32,0.52,0.07,0,false,base
FMCAD08/Int/simulation/metros_1_e7_1255_e7_12.lus,Safe,14 12 9,0.888,4,930,50.84,1.35,0.88,0,false,base
FMCAD08/Int/simulation/car_6_e1_152.lus,Safe,16 15 12 10 8 6 5 2,6.011,9,6365,64.28,6.45,5.93,0,false,base
FMCAD08/Int/simulation/PRODUCER_CONSUMER_vt_e2_1352.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/car_5_e7_244_e1_823.lus,Safe,"30 28 26 24 21 20 18 15 14 10 9 6 5
                                            2",51.139,15,27858,116.52,51.61,50.46,0,false,base
FMCAD08/Int/simulation/car_all_e3_1068_e5_882.lus,Unsafe,,0.013,0,2,32.90,0.52,0.04,40,false,base
FMCAD08/Int/simulation/metros_4_e2_968_e2_1166.lus,Safe,8 6,0.289,3,279,47.66,0.75,0.30,0,false,base
FMCAD08/Int/simulation/cd_e7_8.lus,Unsafe,24 17 10 3,1.028,4,1282,50.68,1.46,1.03,40,false,base
FMCAD08/Int/simulation/car_all_e8_856_e2_585.lus,Safe,2 1,0.140,3,164,47.16,0.63,0.15,0,false,base
FMCAD08/Int/simulation/car_6_e2_893.lus,Unsafe,11 2,0.521,2,449,48.25,0.94,0.53,40,false,base
FMCAD08/Int/simulation/PRODUCER_CONSUMMER_luke_2.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/metros_1_e8_725.lus,Safe,1,0.048,2,23,45.48,0.52,0.07,0,false,base
FMCAD08/Int/simulation/car_all_e8_856_e1_217.lus,Unsafe,5,0.122,1,89,46.40,0.53,0.14,40,false,base
FMCAD08/Int/simulation/speed2_e7_223_e7_213.lus,Safe,4 3,0.111,3,140,46.61,0.65,0.14,0,false,base
FMCAD08/Int/simulation/car_2.lus,Safe,2 1,0.079,3,98,46.38,0.53,0.10,0,false,base
FMCAD08/Int/simulation/metros_1_e2_1102_e2_943.lus,Safe,13 11,0.516,3,470,48.12,1.05,0.54,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e6_1315.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/car_6_e1_152_e1_391.lus,Safe,15 14 12 9 8 6 5 2,4.390,9,5417,60.88,4.89,4.33,0,false,base
FMCAD08/Int/simulation/fast_1_e7_2044_e7_1287.lus,Unsafe,,0.022,0,2,43.16,0.52,0.06,40,false,base
FMCAD08/Int/simulation/metros_4_e3_1091_e4_232.lus,Unsafe,140 113 91 47,143.971,4,22510,193.31,144.43,143.11,40,false,base
FMCAD08/Int/simulation/car_3.lus,Safe,2 1,0.084,3,105,46.38,0.52,0.10,0,false,base
FMCAD08/Int/simulation/car_5.lus,Safe,49 47 44 42 40 37 34 33 28 22 14 8,66.360,13,27645,122.96,66.77,65.52,0,false,base
FMCAD08/Int/simulation/PRODUCER_CONSUMER_2.lus,Safe,1,0.038,2,28,46.29,0.52,0.06,0,false,base
FMCAD08/Int/simulation/speed_e7_207_e8_507.lus,Safe,0,0.025,2,12,19.44,0.42,0.04,0,false,base
FMCAD08/Int/simulation/metros_4_e2_968_e1_956.lus,Timeout,24 22 16 13 10 6 5 3 2,58.778,9,20572,323.33,300.23,81.69,30,true,base
FMCAD08/Int/simulation/hysteresis_all.lus,Safe,2 0,0.131,3,169,47.12,0.63,0.14,0,false,base
FMCAD08/Int/simulation/metros_2_e3_112.lus,Unsafe,89 70 21,66.992,3,15453,145.57,67.47,66.34,40,false,base
FMCAD08/Int/simulation/car_4.lus,Safe,2,0.047,2,39,45.66,0.52,0.06,0,false,base
FMCAD08/Int/simulation/hysteresis_2.lus,Safe,4 3,0.125,3,152,46.21,0.62,0.13,0,false,base
FMCAD08/Int/simulation/car_all_e7_188_e7_743.lus,Safe,5 1,0.264,3,344,48.09,0.73,0.27,0,false,base
FMCAD08/Int/simulation/fast_2_e8_460_e7_43.lus,Unsafe,,0.027,0,2,43.04,0.54,0.06,40,false,base
FMCAD08/Int/simulation/car_1_e7_184_e3_299.lus,Safe,2,0.046,2,39,44.68,0.54,0.07,0,false,base
FMCAD08/Int/simulation/car_4_e8_118.lus,Safe,1,0.066,2,25,44.26,0.53,0.08,0,false,base
FMCAD08/Int/simulation/metros_3_e4_987_e3_291.lus,Timeout,7 4 3,0.775,3,794,332.30,302.31,1.31,1,true,base
FMCAD08/Int/simulation/car_2_e7_1027_e7_359.lus,Safe,2 1,0.079,3,98,46.04,0.52,0.09,0,false,base
FMCAD08/Int/simulation/metros_3_e4_987.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/car_5_e3_11_e1_429.lus,Unsafe,8 1,0.629,2,447,49.39,1.04,0.64,40,false,base
FMCAD08/Int/simulation/car_all_e1_618_e3_303.lus,Unsafe,2,0.069,1,47,46.28,0.52,0.09,40,false,base
FMCAD08/Int/simulation/speed2_e7_496.lus,Safe,4 3,0.131,3,163,45.96,0.64,0.14,0,false,base
FMCAD08/Int/simulation/car_4_e3_57_e5_999.lus,Unsafe,,0.046,0,2,42.13,0.56,0.10,40,false,base
FMCAD08/Int/simulation/car_2_e7_1027_e1_1047.lus,Safe,2 1,0.082,3,97,45.91,0.52,0.10,0,false,base
FMCAD08/Int/simulation/metros_1_e2_1102_e1_317.lus,Safe,8 6 3,0.916,4,933,51.22,1.35,0.91,0,false,base
FMCAD08/Int/simulation/metros_2_e1_1116_e3_287.lus,Unsafe,14 4,1.487,2,868,53.72,1.98,1.49,40,false,base
FMCAD08/Int/simulation/metros_4_e2_968_e3_931.lus,Safe,8 6,0.299,3,219,47.66,0.74,0.31,0,false,base
FMCAD08/Int/simulation/car_4_e8_118_e7_178.lus,Safe,1 0,0.090,3,107,44.51,0.54,0.11,0,false,base
FMCAD08/Int/simulation/car_5_e7_244_e3_1071.lus,Unsafe,8 1,0.606,2,429,49.22,1.04,0.62,40,false,base
FMCAD08/Int/simulation/speed_e8_649_e7_709.lus,Safe,0,0.025,2,12,44.04,0.55,0.05,0,false,base
FMCAD08/Int/simulation/car_all_e8_856_e7_578.lus,Safe,5 2,0.251,3,317,47.55,0.74,0.26,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e3_640.lus,Safe,10 7,0.343,3,354,48.53,0.83,0.35,0,false,base
FMCAD08/Int/simulation/car_all_e2_142_e7_209.lus,Safe,3 1,0.194,3,234,46.56,0.62,0.20,0,false,base
FMCAD08/Int/simulation/car_3_e8_33.lus,Safe,2 1,0.081,3,100,45.79,0.53,0.10,0,false,base
FMCAD08/Int/simulation/car_5_e3_11_e5_24.lus,Unsafe,8 1,0.632,2,447,49.18,1.06,0.66,40,false,base
FMCAD08/Int/simulation/car_4_e3_57_e4_1047.lus,Safe,1,0.034,2,25,46.01,0.53,0.05,0,false,base
FMCAD08/Int/simulation/car_all_e2_142.lus,Safe,3 1,0.201,3,242,47.02,0.64,0.21,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275.lus,Timeout,7 3 2,0.836,3,838,395.26,300.24,102.84,30,true,base
FMCAD08/Int/simulation/PRODUCER_CONSUMMER_luke_1.lus,Unsafe,,0.013,0,2,33.05,0.52,0.04,40,false,base
