filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/DRAGON_2.lus,Safe,1,0.063,2,22,57.46,0.52,0.23,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e7_5406.lus,Unsafe,,0.028,0,2,41.14,0.53,0.17,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e4_897.lus,Unsafe,11 5,0.866,2,611,111.16,1.26,2.58,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e2_3678.lus,Unsafe,0,0.060,1,15,94.91,0.52,0.24,40,false,pic3
FMCAD08/Int/memory1/DRAGON_4_e2_2799_e2_2251.lus,Safe,18 13 6 1,2.238,4,1741,123.48,2.72,6.74,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_6.lus,Safe,10 8 5,0.467,4,513,106.49,0.94,1.41,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_all.lus,Safe,1 0,0.232,3,172,107.29,0.73,0.70,0,false,pic3
FMCAD08/Int/memory1/DRAGON_9_e7_1843.lus,Safe,2,0.096,2,39,66.43,0.52,0.31,0,false,pic3
FMCAD08/Int/memory1/DRAGON_8.lus,Safe,9 8 2 1,0.992,4,642,112.82,1.36,2.81,0,false,pic3
FMCAD08/Int/memory1/DRAGON_10_e7_3861_e2_1020.lus,Unsafe,,0.023,0,2,56.26,0.52,0.13,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_6_e2_3302.lus,Safe,11 8 5,0.553,4,594,107.73,1.06,1.68,0,false,pic3
FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755.lus,Safe,1,0.070,2,25,20.18,0.52,0.25,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e2_1767.lus,Unsafe,3,0.103,1,53,77.45,0.54,0.35,40,false,pic3
FMCAD08/Int/memory1/DRAGON_all_e7_4065.lus,Unsafe,,0.024,0,2,35.23,0.53,0.16,40,false,pic3
