filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/misc/_6counters.lus,Unsafe,39 37 33 30 27 24 21 19 11,7.455,9,7717,66.39,7.87,7.38,40,false,desc_l2l1
FMCAD08/Int/misc/ticket3i_7_e7_3176_e1_2924.lus,Safe,7,0.174,2,119,48.06,0.63,0.21,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_1_e2_3.lus,Safe,1,0.035,2,23,46.39,0.53,0.05,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_2_e7_145_e3_222.lus,Safe,3,0.052,2,45,45.98,0.53,0.07,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_3_e7_334_e2_62.lus,Safe,3,0.053,2,46,46.43,0.56,0.08,0,false,desc_l2l1
FMCAD08/Int/misc/ticket3i_1.lus,Safe,3,0.137,2,54,47.11,0.63,0.19,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_3.lus,Timeout,,,,,,,,,true,desc_l2l1
FMCAD08/Int/misc/traffic_e7_46_e7_171.lus,Unsafe,,0.008,0,1,32.76,0.42,0.04,40,false,desc_l2l1
FMCAD08/Int/misc/durationThm_2_e7_149.lus,Unsafe,,0.012,0,2,20.03,0.42,0.03,40,false,desc_l2l1
FMCAD08/Int/misc/durationThm_3_e7_334_e3_42.lus,Safe,4,0.071,2,65,46.27,0.53,0.09,0,false,desc_l2l1
FMCAD08/Int/misc/ticket3i_7_e3_59_e7_2122.lus,Safe,6,0.152,2,105,47.78,0.62,0.18,0,false,desc_l2l1
FMCAD08/Int/misc/ex8_e7_74.lus,Unsafe,0,0.025,2,13,33.59,0.42,0.04,40,false,desc_l2l1
FMCAD08/Int/misc/ex8_e7_74_e7_740.lus,Unsafe,0,0.025,2,13,33.37,0.42,0.04,40,false,desc_l2l1
FMCAD08/Int/misc/ticket3i_3_e7_99.lus,Unsafe,,0.021,0,2,44.38,0.52,0.06,40,false,desc_l2l1
